city,state,population
Blue Rapids,Kansas,961
Marlinton,West Virginia,961
Mendon,Illinois,961
Swansea,South Carolina,961
Highland Hills,Ohio,960
Lynnville,Indiana,960
Mammoth Spring,Arkansas,960
Reynolds,Georgia,960
Sardis,Georgia,960
Saugatuck,Michigan,960
Troy,Kansas,960
Arendtsville,Pennsylvania,959
Bird Island,Minnesota,959
Dubois,Wyoming,959
Gainesboro,Tennessee,959
La Center,Kentucky,959
Oak Creek,Colorado,959
Pleasantville,Ohio,959
Preston,Iowa,959
Scanlon,Minnesota,959
Aurelia,Iowa,958
Benton,Wisconsin,958
Liverpool,Pennsylvania,958
Roslyn,Washington,958
West Brownsville,Pennsylvania,958
Chesnee,South Carolina,957
Chicora,Pennsylvania,957
Glasford,Illinois,957
Lakeside City,Texas,957
Vaiden,Mississippi,957
Faison,North Carolina,956
Linden,Tennessee,956
Palmyra,Indiana,956
Poncha Springs,Colorado,956
Southwest City,Missouri,956
Underwood,Iowa,956
Brook,Indiana,955
Dolores,Colorado,955
Killen,Alabama,955
Norwood Court,Missouri,955
White Deer,Texas,955
Belwood,North Carolina,954
Buffalo City,Wisconsin,954
Levan,Utah,954
Oakland,Oregon,954
Ringling,Oklahoma,954
Weleetka,Oklahoma,954
Branchville,South Carolina,953
Coolidge,Texas,953
Gowrie,Iowa,953
Swisher,Iowa,953
Watkins,Minnesota,953
Avonmore,Pennsylvania,952
Magnolia,North Carolina,952
Milledgeville,Illinois,952
Nashwauk,Minnesota,952
Riley,Kansas,952
Downs,Illinois,951
Gore,Oklahoma,951
Millersburg,Indiana,951
Camp Hill,Alabama,950
Cotter,Arkansas,950
Onsted,Michigan,950
Bechtelsville,Pennsylvania,949
Elm Creek,Nebraska,949
La Conner,Washington,949
Sheldon,Illinois,949
Stafford,Kansas,949
Triana,Alabama,949
Blue Mountain,Mississippi,948
Genoa,Nebraska,948
Hinton,Iowa,948
Mansfield,Illinois,948
Portville,New York,948
Rose Valley,Pennsylvania,948
Ferguson,Kentucky,947
Sturgeon,Missouri,947
Lake Linden,Michigan,946
Princeton,Iowa,946
Russell Gardens,New York,946
Saegertown,Pennsylvania,946
Timberlane,Illinois,946
West Pelzer,South Carolina,946
Bernville,Pennsylvania,945
Collinwood,Tennessee,944
Drexel,Missouri,944
Griswold,Iowa,944
Plain Dealing,Louisiana,944
Carrollton,Alabama,943
Crivitz,Wisconsin,943
Odebolt,Iowa,943
Waddington,New York,943
Wayland,Iowa,943
Bow Mar,Colorado,942
Raymond,Illinois,942
Goldsboro,Pennsylvania,941
Homeland,Georgia,941
Ivyland,Pennsylvania,941
Pringle,Pennsylvania,941
Bloomfield,Nebraska,940
Cottonwood,Idaho,940
Orlinda,Tennessee,940
Spiceland,Indiana,940
Central Lake,Michigan,939
Jeffersonville,Georgia,939
Medford,Oklahoma,939
New Castle,Kentucky,939
Dryden,Michigan,938
Franklin Grove,Illinois,938
Wenona,Illinois,938
Gwinner,North Dakota,937
Hydro,Oklahoma,937
Parrish,Alabama,937
Addyston,Ohio,936
Borden,Indiana,936
Cotton Valley,Louisiana,936
Mason,West Virginia,936
Carrizozo,New Mexico,935
Grace,Idaho,935
Green River,Utah,935
Hardin,Texas,935
Lamar,South Carolina,935
Lansing,Iowa,935
Maysville,North Carolina,935
Paint,Pennsylvania,935
Sister Bay,Wisconsin,935
Trumbauersville,Pennsylvania,935
Burnsville,Mississippi,934
Clarksville City,Texas,934
Miner,Missouri,934
Utica,Indiana,934
Walker,Minnesota,934
Brunswick,North Carolina,933
Golden Beach,Florida,933
Grandfield,Oklahoma,933
Hancock,New York,933
Lake Quivira,Kansas,933
Lynnview,Kentucky,933
Prentiss,Mississippi,933
Shellman,Georgia,933
Westphalia,Michigan,933
Coldspring,Texas,932
Eden,Wisconsin,932
Le Roy,Minnesota,932
Craigsville,Virginia,931
Henning,Tennessee,931
Kiowa,Kansas,931
White Sulphur Springs,Montana,931
Crawford,Nebraska,930
Deer River,Minnesota,930
Henderson,Minnesota,930
Tilden,Nebraska,930
Uniontown,Kentucky,930
West Point,Iowa,930
Battle Lake,Minnesota,929
Hesperia,Michigan,929
Jupiter Island,Florida,929
Delta Junction,Alaska,928
Ellington,Missouri,928
Hotchkiss,Colorado,928
Jonesville,Virginia,928
Otego,New York,928
Owen,Wisconsin,928
Poquott,New York,928
Dagsboro,Delaware,927
Pine River,Minnesota,927
Summerton,South Carolina,927
Allen,Oklahoma,926
Blue Ridge,Texas,926
Foreman,Arkansas,926
Point,Texas,926
Stockertown,Pennsylvania,926
Millerton,New York,925
Pleasant Hill,Illinois,925
Alpine,Wyoming,924
Beloit,Ohio,924
Jamestown,Indiana,924
Old Fort,North Carolina,924
Vega,Texas,924
Wartburg,Tennessee,924
Fredericksburg,Iowa,923
Newark Valley,New York,923
Philipsburg,Montana,923
Silver Lake,Indiana,923
Wyanet,Illinois,923
Fremont Hills,Missouri,922
Marine,Illinois,922
Millville,Pennsylvania,922
Quinby,South Carolina,922
Blue River,Colorado,921
Hallock,Minnesota,921
McClure,Pennsylvania,921
North Enid,Oklahoma,921
Village of Clarkston,Michigan,921
Wayne,Ohio,921
Minersville,Utah,920
New Washington,Ohio,920
Pomona Park,Florida,920
Shabbona,Illinois,920
Valders,Wisconsin,920
Wakefield,Kansas,920
Atwood,Tennessee,919
Glenwillow,Ohio,919
Killbuck,Ohio,919
Percy,Illinois,919
Woodville,Mississippi,919
Elkhart,Iowa,918
Garysburg,North Carolina,918
Necedah,Wisconsin,918
Pound,Virginia,918
Calmar,Iowa,917
New Bethlehem,Pennsylvania,917
Sharon,Tennessee,917
Grant,Alabama,916
Laurel,Nebraska,916
Marvell,Arkansas,916
Red Cloud,Nebraska,916
Bloomingburg,Ohio,915
Eldon,Iowa,915
Goshen,Utah,915
Langdon Place,Kentucky,915
Waterloo,Nebraska,915
Beaumont,Mississippi,914
Ivey,Georgia,914
Le Grand,Iowa,914
Leland,Illinois,914
Washington,Louisiana,914
Waynoka,Oklahoma,914
Altoona,Alabama,913
Fordoche,Louisiana,913
Shiocton,Wisconsin,913
Mount Olive,Mississippi,912
Ponca,Nebraska,912
Bloomville,Ohio,911
Clay City,Illinois,911
Coleman,Florida,911
Hiawassee,Georgia,911
Mifflintown,Pennsylvania,911
Swayzee,Indiana,911
Wessington Springs,South Dakota,911
Centuria,Wisconsin,910
Diamond,Missouri,910
East Prospect,Pennsylvania,910
Franklin,Nebraska,910
Morrice,Michigan,910
Perry,Kansas,910
Tunnel Hill,Georgia,910
Garden Plain,Kansas,909
Old Field,New York,909
Tellico Plains,Tennessee,909
Ignacio,Colorado,908
Keosauqua,Iowa,908
Marshall,North Carolina,908
Osceola,Missouri,908
Port Royal,Pennsylvania,908
Waynesburg,Ohio,908
Cedar Grove,West Virginia,907
Celeste,Texas,907
Centerville,Texas,907
Dubach,Louisiana,907
Temple,Oklahoma,907
Walhalla,North Dakota,907
East Brady,Pennsylvania,906
Slaughter,Louisiana,906
Springer,New Mexico,906
Carpendale,West Virginia,905
Grand Coteau,Louisiana,905
Cattaraugus,New York,904
Haxtun,Colorado,904
Cooperstown,North Dakota,903
Far Hills,New Jersey,903
Friendsville,Tennessee,903
Hopedale,Ohio,903
Maxwell,Iowa,903
Piedmont,South Dakota,903
Rivesville,West Virginia,903
Belmont,New York,902
Dighton,Kansas,902
Dyer,Arkansas,902
Eton,Georgia,902
Inkom,Idaho,902
Milford Center,Ohio,902
Plandome Manor,New York,902
Woodbury,Georgia,902
Burlingame,Kansas,901
Ray,North Dakota,901
Texhoma,Oklahoma,901
Anita,Iowa,900
Bandera,Texas,900
Hardin,Illinois,900
Santee,South Carolina,900
Wisner,Louisiana,900
Augusta,Michigan,899
Ceresco,Nebraska,899
Danville,Iowa,899
Grundy,Virginia,899
Lockwood,Missouri,899
Moulton,Texas,899
Bear River City,Utah,898
Geraldine,Alabama,898
Roseville,Illinois,898
Athens,West Virginia,897
Dorris,California,897
Fort Sumner,New Mexico,897
Glendale,Oregon,897
Kekoskee,Wisconsin,897
White Plains,Kentucky,897
Cottondale,Florida,895
Coulterville,Illinois,895
Northwood,North Dakota,895
Seaman,Ohio,895
Sudan,Texas,895
Troy,Idaho,895
Avoca,New York,894
Butler,Ohio,894
Council,Idaho,894
Leakesville,Mississippi,894
New Haven,Kentucky,894
Odessa,Washington,894
Rupert,West Virginia,894
Empire City,Oklahoma,893
Hagerman,Idaho,893
Garrett,Texas,892
Independence,Virginia,892
La Grange,Missouri,892
North Haven,New York,892
Albany,Ohio,891
Ashton,Illinois,891
Ipswich,South Dakota,891
Iron Ridge,Wisconsin,891
Larchwood,Iowa,891
Neola,Iowa,891
Pasadena Hills,Missouri,891
Wishek,North Dakota,891
Elkhorn City,Kentucky,890
Randolph,Nebraska,890
Whitney Point,New York,890
Carthage,Indiana,889
Curtis,Nebraska,889
Morrill,Nebraska,889
Pembroke,Kentucky,889
Bowman,South Carolina,888
Lobelville,Tennessee,888
Shirley,Indiana,888
Viola,Illinois,888
Halifax,Pennsylvania,887
Lebo,Kansas,887
Sanford,Colorado,887
Bellemeade,Kentucky,886
Clarkson,Kentucky,886
Fort Lawn,South Carolina,886
Greenleaf,Idaho,886
Lake Tanglewood,Texas,886
Truesdale,Missouri,886
Adairville,Kentucky,885
Hankinson,North Dakota,885
Mayville,Michigan,885
Bowmanstown,Pennsylvania,884
Grant,Michigan,884
North Perry,Ohio,884
Simonton,Texas,884
Stonington,Connecticut,884
LaMoure,North Dakota,883
Medley,Florida,883
Monroe,Indiana,883
Pleasureville,Kentucky,883
Utica,Mississippi,883
Baroda,Michigan,882
Birchwood Village,Minnesota,882
Elk Mound,Wisconsin,882
Elsinore,Utah,882
Cassville,Wisconsin,881
Cimarron,New Mexico,881
Dixon,Kentucky,881
Fair Bluff,North Carolina,881
Rimersburg,Pennsylvania,881
Tilden,Illinois,881
Arco,Idaho,880
Galatia,Illinois,880
Lilly,Pennsylvania,880
Millheim,Pennsylvania,880
Americus,Kansas,879
Rushville,Nebraska,879
Sylvan Beach,New York,879
Fouke,Arkansas,878
Gibsland,Louisiana,878
Magdalena,New Mexico,878
Argenta,Illinois,877
Milltown,Wisconsin,877
Mountain Village,Alaska,877
Roachdale,Indiana,877
Galva,Kansas,876
Mount Crested Butte,Colorado,876
Prairie City,Oregon,876
Quapaw,Oklahoma,876
West Point,Kentucky,876
Wall,South Dakota,875
Adair Village,Oregon,874
Arcadia Lakes,South Carolina,874
Dover,Idaho,874
Lake George,New York,874
Mosses,Alabama,874
Patagonia,Arizona,874
Benton,Missouri,873
Brilliant,Alabama,873
Garrison,Texas,873
Gaston,Indiana,873
Lake Waukomis,Missouri,873
Leeds,Utah,873
Midway,Pennsylvania,873
Mountainair,New Mexico,873
North Bend,Ohio,873
Wheatfield,Indiana,873
Centerville,South Dakota,872
Cleveland,North Carolina,872
Dallas City,Illinois,872
Dugger,Indiana,872
Grand Ridge,Florida,872
Long Grove,Iowa,872
Miles,Texas,872
Savoy,Texas,872
Autaugaville,Alabama,871
Benton,Kansas,871
Cashion,Oklahoma,871
Farwell,Michigan,871
Funkstown,Maryland,871
Montreat,North Carolina,870
Poulan,Georgia,870
Trinidad,Texas,870
East Bank,West Virginia,869
Gloster,Mississippi,869
Rockaway Beach,Missouri,869
Airport Drive,Missouri,868
Linn Valley,Kansas,868
Victor,Iowa,868
Walnut Springs,Texas,868
Reeds Spring,Missouri,867
Superior,Montana,867
Blue Hill,Nebraska,866
Dresser,Wisconsin,866
Inverness,Mississippi,866
New Knoxville,Ohio,866
Dorchester,Wisconsin,865
Grantsville,Maryland,865
Matamoras,Ohio,865
Morehouse,Missouri,865
St. Stephen,Minnesota,865
Fairview,Montana,864
Hamden,Ohio,864
Marblehead,Ohio,864
Onamia,Minnesota,864
Tunica,Mississippi,864
Albany,Illinois,863
Elkville,Illinois,863
Rib Lake,Wisconsin,863
Sheffield,Illinois,863
Belmont,West Virginia,862
Cottonwood Falls,Kansas,862
Darlington,Indiana,862
Decaturville,Tennessee,862
Folsom,Louisiana,862
Jennings,Florida,862
Mannsville,Oklahoma,862
Marathon,New York,862
Scranton,South Carolina,862
Attica,Ohio,861
Dibble,Oklahoma,861
East Mountain,Texas,861
Edgewood,Iowa,861
Fountain City,Wisconsin,861
Lometa,Texas,861
Oriental,North Carolina,861
Walnut Creek,North Carolina,861
Wilbur,Washington,861
Burrton,Kansas,860
Windsor,New York,860
Arlington,South Dakota,859
West Siloam Springs,Oklahoma,859
Bearden,Arkansas,858
Felicity,Ohio,858
Gladbrook,Iowa,858
Harrisville,Pennsylvania,858
Hi-Nella,New Jersey,858
Newhall,Iowa,858
Rocky Ridge,Utah,858
Sodus Point,New York,858
Taylortown,North Carolina,858
Woodstock,Vermont,858
Deerfield,Michigan,857
Hyndman,Pennsylvania,857
Moreauville,Louisiana,857
Schleswig,Iowa,857
Export,Pennsylvania,856
Grantwood Village,Missouri,856
Greers Ferry,Arkansas,856
Marion,Michigan,856
Paxton,Florida,856
Primghar,Iowa,856
Buffalo Center,Iowa,855
Merrill,Oregon,855
Seiling,Oklahoma,855
West Winfield,New York,855
Donnellson,Iowa,854
Indian Lake,Texas,854
McBee,South Carolina,854
Oakland,Illinois,854
Plantation,Kentucky,854
Silverdale,Pennsylvania,854
Annawan,Illinois,853
Brandon,Wisconsin,853
Chester,Montana,853
Dewar,Oklahoma,853
Tangipahoa,Louisiana,853
Tully,New York,853
Woodmere,Ohio,853
Newell,Iowa,852
Pine Hill,Alabama,852
Riegelsville,Pennsylvania,852
Rockford,Tennessee,852
Bunker Hill,Indiana,851
Longport,New Jersey,851
Mendon,Michigan,851
New Holland,Ohio,851
Rankin,Texas,851
St. Paul,Virginia,851
West Salem,Illinois,851
Bainbridge,Ohio,850
Lenox,Georgia,850
Chappell,Nebraska,849
Colcord,Oklahoma,849
Dunkerton,Iowa,849
Frederica,Delaware,849
Inwood,Iowa,849
Log Lane Village,Colorado,849
Maywood Park,Oregon,849
McLouth,Kansas,849
Mount Jewett,Pennsylvania,849
Richmondville,New York,849
Spaulding,Illinois,849
Star,North Carolina,849
Winthrop,Iowa,849
Madisonville,Louisiana,848
Paw Paw,Illinois,848
Pentwater,Michigan,848
Talbotton,Georgia,848
Naches,Washington,847
Bentleyville,Ohio,846
Braymer,Missouri,846
Fordland,Missouri,846
Gassaway,West Virginia,846
Lilydale,Minnesota,846
Puxico,Missouri,846
Readlyn,Iowa,846
Stonington,Illinois,846
Caspian,Michigan,845
Crenshaw,Mississippi,845
Greenville,Georgia,845
Mazeppa,Minnesota,845
Ruston,Washington,845
Sentinel,Oklahoma,845
Valley View,Texas,845
Apple Valley,Utah,844
Fincastle,Kentucky,844
Hackett,Arkansas,844
Huntland,Tennessee,844
Isleton,California,844
Rich Square,North Carolina,844
Sanford,Michigan,844
Burnside,Kentucky,843
Cameron,West Virginia,843
Forest Hill,Louisiana,843
Gratis,Ohio,843
New Milford,Pennsylvania,843
Osceola,Nebraska,843
Pellston,Michigan,843
Witt,Illinois,843
Illiopolis,Illinois,842
Rutledge,Georgia,842
South Fork,Pennsylvania,842
Eastover,South Carolina,841
Kenansville,North Carolina,841
Seligman,Missouri,841
Togiak,Alaska,841
Armstrong,Iowa,840
Dunkirk,Ohio,840
Emily,Minnesota,840
Harmony,Pennsylvania,840
Loreauville,Louisiana,840
Lumberport,West Virginia,840
Maben,Mississippi,840
Morgan,Minnesota,840
Poplar,Montana,840
Selawik,Alaska,840
Alger,Ohio,839
Bloomsbury,New Jersey,839
Dobbins Heights,North Carolina,839
Elizabeth,West Virginia,838
Enderlin,North Dakota,838
Hooper,Nebraska,838
Jonesville,South Carolina,838
McGregor,Iowa,838
Skyline,Alabama,838
Snead,Alabama,838
Trezevant,Tennessee,838
Waverly,Missouri,838
Lake City,Michigan,837
O'Donnell,Texas,837
Wagener,South Carolina,837
Wallowa,Oregon,837
Crawford,Georgia,836
Plainfield,Wisconsin,836
Roosevelt,New Jersey,836
Rushford Village,Minnesota,836
Shalimar,Florida,836
Aspermont,Texas,835
Blooming Grove,Texas,835
Copperton metroship,Utah,835
Franklin,Idaho,835
Harlem,Montana,835
Lone Rock,Wisconsin,835
Otisville,Michigan,835
Simsboro,Louisiana,835
Alton,Missouri,834
Aurora,South Dakota,834
Beaver Meadows,Pennsylvania,834
Calhan,Colorado,834
Coalmont,Tennessee,834
Middleburg,Virginia,834
Pond Creek,Oklahoma,834
Royal Center,Indiana,834
Blackduck,Minnesota,833
Glasgow,West Virginia,833
Hazleton,Iowa,833
Matinecock,New York,833
Newman,Illinois,833
Penney Farms,Florida,833
Warrenton,North Carolina,833
Ellenboro,North Carolina,832
Flushing,Ohio,832
Malin,Oregon,832
Pawnee City,Nebraska,832
Shoreham,Michigan,832
Chester Hill,Pennsylvania,831
Footville,Wisconsin,831
Luthersville,Georgia,831
McCammon,Idaho,831
Richland,Michigan,831
Sully,Iowa,831
Utica,Nebraska,831
Doniphan,Nebraska,830
Magazine,Arkansas,830
Stoddard,Wisconsin,830
Au Gres,Michigan,829
Edmundson,Missouri,829
Harwood,North Dakota,829
St. Joseph,Tennessee,829
Tatum,New Mexico,829
Brimfield,Illinois,828
Cheyenne Wells,Colorado,828
Dayton,Wyoming,828
La Fontaine,Indiana,828
Onaway,Michigan,828
Owensville,Ohio,828
St. Ignatius,Montana,828
Winslow,Indiana,828
Arena,Wisconsin,827
Baconton,Georgia,827
Clay City,Indiana,827
Crawford,Texas,827
Jacksons' Gap,Alabama,827
New Deal,Texas,827
Brookport,Illinois,826
Brownsville,Kentucky,826
Coffeeville,Mississippi,826
Eureka,South Dakota,826
Highland,Wisconsin,826
Holly Pond,Alabama,826
Mortons Gap,Kentucky,826
New Berlin,Pennsylvania,826
Sarepta,Louisiana,826
Smithfield,Pennsylvania,826
Stephenson,Michigan,826
Bridgewater,Pennsylvania,825
Crab Orchard,Kentucky,825
Dakota City,Iowa,825
Hopedale,Illinois,825
Middlesex,North Carolina,825
San Felipe,Texas,825
Wakefield,Virginia,825
Greenville,Florida,824
Norris,South Carolina,824
Pittsville,Wisconsin,824
St. Clair,Minnesota,824
Beckville,Texas,823
Juniata,Nebraska,823
Magnolia Springs,Alabama,823
Notasulga,Alabama,823
Bellefonte,Kentucky,822
Garibaldi,Oregon,822
Langley,Oklahoma,822
Rockford,Iowa,822
Roy,Washington,822
Russellville,Missouri,822
Gray Court,South Carolina,821
Hazelton,Idaho,821
Lake Andes,South Dakota,821
Polkville,Mississippi,821
Rising Star,Texas,821
Arlington,Wisconsin,820
Colo,Iowa,820
Mossyrock,Washington,820
Pomona,Kansas,820
Rockwood,Pennsylvania,820
Shawnee Hills,Ohio,820
Emmonak,Alaska,819
Angelica,New York,818
Belle Center,Ohio,818
Claysville,Pennsylvania,818
East Camden,Arkansas,818
Fertile,Minnesota,818
Candor,North Carolina,817
Crowell,Texas,817
Humphrey,Nebraska,817
La Jara,Colorado,817
Newton,Utah,817
Waynesfield,Ohio,817
Mankato,Kansas,816
Redfield,Iowa,816
Schoharie,New York,816
Syracuse,Ohio,816
Afton,Iowa,815
Castalia,Ohio,815
Wilson,Arkansas,815
Brunswick,Missouri,814
Downs,Kansas,814
Potlatch,Idaho,814
Rural Valley,Pennsylvania,814
Silver Lake,Minnesota,814
Sycamore,Ohio,814
Epps,Louisiana,813
Jetmore,Kansas,813
Ringwood,Illinois,813
Shickshinny,Pennsylvania,813
Gurley,Alabama,812
Oakley,Idaho,812
Pleasantville,Pennsylvania,812
Ridge Farm,Illinois,812
Van Buren,Indiana,812
Adair,Oklahoma,811
Altheimer,Arkansas,811
Argyle,Wisconsin,811
La Veta,Colorado,811
Loch Lloyd,Missouri,811
Oreana,Illinois,811
Selma,Indiana,811
Sherwood,Ohio,811
Annabella,Utah,810
Benton,Pennsylvania,810
Edon,Ohio,810
Hamel,Illinois,810
Humboldt,Nebraska,810
Milltown,Indiana,810
Mountain City,Texas,810
Mulga,Alabama,810
Stone Harbor,New Jersey,810
Carson,Iowa,809
Bowman,Georgia,808
Henning,Minnesota,808
Hilshire Village,Texas,808
Parksley,Virginia,808
Davenport,Oklahoma,807
Garber,Oklahoma,807
Lyons,Michigan,807
Marengo,Indiana,807
Pineville,Missouri,807
Sewickley Heights,Pennsylvania,807
Waverly Hall,Georgia,807
Burr Oak,Michigan,806
Correctionville,Iowa,806
Faith,North Carolina,806
Hollow Creek,Kentucky,806
Walnut Grove,Minnesota,806
Earlville,New York,805
Joaquin,Texas,805
Junction City,Ohio,805
South Webster,Ohio,805
Wellington,Missouri,805
Hills,Iowa,804
Lewisburg,Kentucky,804
Livingston,Illinois,804
Menan,Idaho,804
Orrick,Missouri,804
Scotland,South Dakota,804
Arapaho,Oklahoma,803
Evarts,Kentucky,803
Key Colony Beach,Florida,803
Resaca,Georgia,803
Saltsburg,Pennsylvania,803
West Middlesex,Pennsylvania,803
Bethany,West Virginia,802
Flordell Hills,Missouri,802
Morse,Louisiana,802
Parker,Pennsylvania,802
Piedmont,West Virginia,802
Stamping Ground,Kentucky,802
Agua Dulce,Texas,801
Dauphin,Pennsylvania,801
Dawson,Texas,801
Hubbard,Iowa,801
Metolius,Oregon,801
Mount Hope,Kansas,801
Deer Trail,Colorado,800
Diamond City,Arkansas,800
Kansas,Oklahoma,800
Ogden,Illinois,800
Pineland,Texas,800
Afton,New York,799
East Sparta,Ohio,799
Lyons,Nebraska,799
Rutledge,Pennsylvania,799
Scribner,Nebraska,799
Tekoa,Washington,799
West Union,West Virginia,799
Chateaugay,New York,798
Cumby,Texas,798
Darby,Montana,798
Escalante,Utah,798
Ferrelview,Missouri,798
Gobles,Michigan,798
Isle,Minnesota,798
Kimball,Minnesota,798
Lakeville,Indiana,798
Smiths Grove,Kentucky,798
Van Buren,Missouri,798
Walthill,Nebraska,798
Bromley,Kentucky,797
Elmwood,Wisconsin,797
Francesville,Indiana,797
Gosport,Indiana,797
Cambridge,Iowa,796
Morning Sun,Iowa,796
Sunrise Beach Village,Texas,796
Culbertson,Montana,795
Graettinger,Iowa,795
Mackinaw City,Michigan,795
McLean,Illinois,795
Chevy Chase Section Three,Maryland,794
Melbourne,Iowa,794
Wedowee,Alabama,794
Lake Park,Minnesota,793
Raymond,Iowa,793
Roscoe,Pennsylvania,793
Athol,Idaho,792
Cairo,Nebraska,792
Emerson,Nebraska,792
Okoboji,Iowa,792
Oxford,Iowa,792
Wells,Texas,792
Arkport,New York,791
Blanchardville,Wisconsin,791
Cohocton,New York,791
Grant City,Missouri,791
Hoonah,Alaska,791
Mayfield,New York,791
New Salem,Pennsylvania,791
Pleasant Plains,Illinois,791
Adams,Minnesota,790
Benkelman,Nebraska,790
Candor,New York,790
Smithfield,Ohio,790
Campbellsburg,Kentucky,789
Howe,Oklahoma,789
Interlaken,New Jersey,789
Minatare,Nebraska,789
Shoals,Indiana,789
Spencer,Ohio,789
Stronghurst,Illinois,789
Vass,North Carolina,789
Walker,Iowa,789
Chocowinity,North Carolina,788
Duncan,Arizona,788
Gary,West Virginia,788
Guy,Arkansas,788
Wonewoc,Wisconsin,788
Clarkfield,Minnesota,787
Coon Valley,Wisconsin,787
Fairplay,Colorado,787
Horseshoe Bend,Idaho,787
Klawock,Alaska,787
North Irwin,Pennsylvania,787
Springport,Michigan,787
Stephens,Arkansas,787
Turbeville,South Carolina,787
Winnebago,Nebraska,787
Belle Terre,New York,786
Clayton,Oklahoma,786
Hurst,Illinois,786
Wataga,Illinois,786
Canon,Georgia,785
Northwest,North Carolina,785
Ubly,Michigan,785
Bovey,Minnesota,784
Carrolltown,Pennsylvania,784
Enterprise,Kansas,784
Hayneville,Alabama,784
Seven Mile,Ohio,784
Spearville,Kansas,784
Yachats,Oregon,784
Anacoco,Louisiana,783
Aulander,North Carolina,783
Byrdstown,Tennessee,783
Climax,Michigan,783
Fultonville,New York,783
Mountain Pine,Arkansas,783
Newborn,Georgia,783
Pearl City,Illinois,783
Woodhull,Illinois,783
Birnamwood,Wisconsin,782
Doyline,Louisiana,782
Foxfield,Colorado,782
Norphlet,Arkansas,782
Wallace,Idaho,782
Windfall City,Indiana,782
Deckerville,Michigan,781
Keysville,Virginia,781
Kindred,North Dakota,781
Lyndonville,New York,781
Pepin,Wisconsin,781
Rio Grande,Ohio,781
Scurry,Texas,781
Theresa,New York,781
Walnut Grove,Missouri,781
Alma,Kansas,780
Marion,South Dakota,780
Meriden,Kansas,780
Millersburg,Kentucky,780
Savona,New York,780
Woodsburgh,New York,780
Belgrade,Minnesota,779
Branchville,New Jersey,779
Cissna Park,Illinois,779
McKee,Kentucky,779
Stantonsburg,North Carolina,779
Douglas,Alabama,778
Greensburg,Kansas,778
Hewitt,Wisconsin,778
Montrose,Iowa,778
Ossian,Iowa,778
Riceboro,Georgia,778
Alexis,Illinois,777
Blue Ridge Manor,Kentucky,777
Flint Hill,Missouri,777
Hartford,Iowa,777
Hugo,Colorado,777
Oshkosh,Nebraska,777
Wagram,North Carolina,777
Woodridge,New York,777
Baltic,Ohio,776
Conway,Missouri,776
Loma Linda,Missouri,776
Marshallville,Ohio,776
Susan Moore,Alabama,776
Wrightstown,New Jersey,776
York Springs,Pennsylvania,776
Ashland,Kansas,775
Damascus,Virginia,775
Dayton,Iowa,775
Alakanuk,Alaska,774
Cheyenne,Oklahoma,774
East Galesburg,Illinois,774
Holly,Colorado,774
North Hills,West Virginia,774
Siren,Wisconsin,774
Wellston,Oklahoma,774
Bailey's Prairie,Texas,773
Grand Junction,Iowa,773
Hemingford,Nebraska,773
Lowden,Iowa,773
Somerville,Alabama,773
Sterling,Oklahoma,773
Biron,Wisconsin,772
Copenhagen,New York,772
Earlville,Iowa,772
Kirklin,Indiana,772
Log Cabin,Texas,772
Patoka,Indiana,772
Plumerville,Arkansas,772
Vernon,Michigan,772
Windsor,Illinois,772
Bucklin,Kansas,771
Coward,South Carolina,771
Hermitage,Arkansas,771
Screven,Georgia,771
Toledo,Washington,771
Valley Brook,Oklahoma,771
Vermontville,Michigan,771
Black Creek,North Carolina,770
Central City,Colorado,770
Chalfant,Pennsylvania,770
Dover,Minnesota,770
Round Lake,New York,770
Boswell,Indiana,769
Exeter,Missouri,769
Exira,Iowa,769
Hanna,Wyoming,769
Ludlow,Vermont,769
Payne Springs,Texas,769
Wall Lake,Iowa,769
Walnut,Iowa,769
White Lake,North Carolina,769
Brantley,Alabama,768
Hanover,Illinois,768
Jeffersonville,Vermont,768
Lamberton,Minnesota,768
Polk,Pennsylvania,768
West Concord,Minnesota,768
Knightsville,Indiana,767
Linden,Indiana,767
Viborg,South Dakota,767
Plain,Wisconsin,766
Tiskilwa,Illinois,766
White Springs,Florida,766
Elysian,Minnesota,765
Hardy,Arkansas,765
Lancaster,Missouri,765
Oregon,Missouri,765
Philip,South Dakota,765
Snow Shoe,Pennsylvania,765
Alanson,Michigan,764
Dunseith,North Dakota,764
Riceville,Iowa,764
Tickfaw,Louisiana,764
Columbiaville,Michigan,763
Corinne,Utah,763
Eagleville,Tennessee,763
Homecroft,Indiana,763
Port Deposit,Maryland,763
Kwethluk,Alaska,762
Triadelphia,West Virginia,762
Cowley,Wyoming,761
Eldred,Pennsylvania,761
Hamlet,Indiana,761
Hymera,Indiana,761
Kiowa,Colorado,761
Milo,Iowa,761
Moyie Springs,Idaho,761
Pilot Grove,Missouri,761
Red Cross,North Carolina,761
Throckmorton,Texas,761
New Site,Alabama,760
Sharon Springs,Kansas,760
Braceville,Illinois,759
Columbia,North Carolina,759
La Farge,Wisconsin,759
Meadow Vale,Kentucky,759
Montgomery,Indiana,759
Tipton,Oklahoma,759
Alliance,North Carolina,758
Essex,Illinois,758
Lake View,South Carolina,758
Cuba,New Mexico,757
Diamondville,Wyoming,757
Hilltop,Minnesota,757
Howard,South Dakota,757
